クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,総事業費,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,当期未処分利益,総資産,総負債,純資産,資本金,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
鹿島,鹿島アントラーズ,3,J1,2005,3156,1045,690,401,1020,3155,2432,1368,1064,723,1,3,-17,75,2113,320,1792,1570,3,59,1.73529411764706,316897,17,28145,3,0,0,0,0,345042,20
浦和,浦和レッズ,4,J1,2005,5805,1660,1949,549,1647,5448,4986,2342,2644,462,357,371,167,167,2421,2093,327,160,2,59,1.73529411764706,669066,17,113992,5,0,0,0,0,783058,22
大宮,大宮アルディージャ,5,J1,2005,2242,1359,311,256,316,2232,1648,Null,Null,584,10,9,2,-188,753,602,151,100,13,41,1.20588235294118,169667,17,45031,4,0,0,0,0,214698,21
千葉,ジェフユナイテッド千葉,22,J1,2005,2722,1279,439,426,578,2548,2191,Null,Null,357,174,160,-128,161,646,385,260,100,4,59,1.73529411764706,162089,17,37064,5,0,0,0,0,199153,22
柏,柏レイソル,6,J1,2005,3874,1782,529,250,1313,3858,3398,Null,Null,460,16,6,1,41,1336,1272,63,22,16,35,1.02941176470588,212368,17,22763,3,12013,1,0,0,247144,21
FC東京,FC東京,7,J1,2005,3168,1186,797,402,783,3054,2387,Null,Null,667,114,111,65,9,982,190,792,783,10,47,1.38235294117647,460721,17,41150,3,0,0,0,0,501871,20
東京V,東京ヴェルディ,23,J1,2005,3077,Null,Null,324,481,3072,2736,Null,Null,336,5,2,1,13,519,487,32,20,17,30,0.882352941176471,250177,17,24207,3,0,0,0,0,274384,20
川崎,川崎フロンターレ,8,J1,2005,1913,1262,277,231,143,1816,1533,Null,Null,283,97,88,39,110,786,296,489,349,8,50,1.47058823529412,232183,17,21643,3,0,0,0,0,253826,20
横浜FM,横浜F・マリノス,9,J1,2005,4822,2551,933,335,1003,4816,3896,2105,1791,920,6,0,-4,-11,2231,2205,25,30,9,48,1.41176470588235,437121,17,21535,2,0,0,21441,3,480097,22
新潟,アルビレックス新潟,11,J1,2005,2639,840,1185,266,348,2682,1978,1269,709,704,-43,85,65,-259,1293,839,454,712,12,42,1.23529411764706,681945,17,112484,3,0,0,0,0,794429,20
清水,清水エスパルス,12,J1,2005,3077,1150,469,270,1188,3170,2628,Null,Null,542,-93,-92,-92,-87,1167,704,463,550,15,39,1.14705882352941,216784,17,42007,4,0,0,0,0,258791,21
磐田,ジュビロ磐田,13,J1,2005,3890,1704,654,317,1215,4073,3349,1834,1515,724,-183,-106,-106,-169,1229,719,509,679,6,51,1.5,294040,17,9574,1,0,0,22044,3,325658,21
名古屋,名古屋グランパス,29,J1,2005,3720,2244,621,262,593,3596,3115,Null,Null,481,124,143,72,278,952,274,677,400,14,39,1.14705882352941,225896,17,21025,3,0,0,0,0,246921,20
