クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
鹿島,鹿島アントラーズ,3,J1,2006,3381,1262,597,346,1176,3536,1564,1021,951,-155,-144,-251,1885,344,1570,-176,1540,6,58,1.7059,262365,17,33115,5,0,0,0,0,295480,22
浦和,浦和レッズ,4,J1,2006,7078,2288,2531,688,1571,6855,2499,3435,921,223,253,156,2240,1757,160,322,482,1,72,2.1176,774749,17,93181,4,0,0,0,0,867930,21
大宮,大宮アルディージャ,5,J1,2006,2376,1470,254,231,421,2518,1246,795,477,-142,-141,-146,612,608,100,-335,4,12,44,1.2941,173986,17,14385,3,0,0,0,0,188371,20
千葉,ジェフユナイテッド千葉,22,J1,2006,2887,1316,564,366,641,2752,1436,1053,263,135,128,86,751,404,100,247,347,11,44,1.2941,227680,17,38904,5,0,0,0,0,266584,22
FC東京,FC東京,7,J1,2006,3299,1217,747,274,1061,3355,1612,993,750,-56,-59,-67,883,134,807,-58,748,13,43,1.2647,409634,17,42726,3,0,0,0,0,452360,20
川崎F,川崎フロンターレ,8,J1,2006,2780,1630,391,368,391,2765,1535,784,446,15,36,2,996,504,349,111,491,2,67,1.9706,243780,17,52353,5,0,0,0,0,296133,22
横浜FM,横浜F・マリノス,9,J1,2006,4559,2520,826,304,909,4508,2210,1257,1041,51,46,-110,2462,2547,30,-121,-84,9,45,1.3235,402270,17,74307,5,0,0,0,0,476577,22
甲府,ヴァンフォーレ甲府,10,J1,2006,1343,571,385,242,145,1102,556,301,245,241,245,135,553,423,367,-236,130,15,42,1.2353,207629,17,22681,3,0,0,0,0,230310,20
新潟,アルビレックス新潟,11,J1,2006,2793,960,994,241,598,2857,1248,921,688,-64,33,10,1304,839,712,-247,464,14,42,1.2353,658050,17,95418,3,0,0,0,0,753468,20
清水,清水エスパルス,12,J1,2006,2986,1213,582,318,873,2978,1139,1304,535,8,11,11,912,438,550,-75,474,4,60,1.7647,243137,17,22438,3,0,0,0,0,265575,20
磐田,ジュビロ磐田,13,J1,2006,3717,1946,561,338,872,3939,1869,1369,701,-222,-214,-214,956,660,679,-383,295,5,58,1.7059,306033,17,25272,4,0,0,0,0,331305,21
名古屋,名古屋グランパスエイト,29,J1,2006,3801,2255,605,258,683,4093,2313,1302,478,-292,-267,-271,834,428,400,6,406,7,48,1.4118,253702,17,11845,3,0,0,0,0,265547,20
京都,京都パープルサンガ,31,J1,2006,2230,1447,334,251,198,2120,1072,666,382,110,95,47,926,666,3605,-3345,259,18,22,0.6471,166280,17,10259,3,0,0,0,0,176539,20
G大阪,ガンバ大阪,14,J1,2006,3361,1729,505,485,642,3118,1623,767,728,243,99,14,1281,1252,10,18,28,3,66,1.9412,276395,17,5254,1,0,0,21857,3,303506,21
C大阪,セレッソ大阪,15,J1,2006,2108,1161,328,242,377,2318,1150,547,621,-210,-206,-199,314,206,315,-206,108,17,27,0.7941,221438,17,26222,4,0,0,0,0,247660,21
広島,サンフレッチェ広島,17,J1,2006,2267,1192,379,232,464,2765,1414,884,467,-498,-498,-500,610,610,1610,-1609,0,10,45,1.3235,190066,17,9051,3,0,0,0,0,199117,20
福岡,アビスパ福岡,37,J1,2006,1575,767,387,235,186,1682,778,460,444,-107,-116,-117,558,424,90,-117,134,16,27,0.7941,234259,17,19044,3,13102,1,0,0,266405,21
