クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
仙台,ベガルタ仙台,2,J1,2010,2041,611,790,233,407,1863,858,735,270,178,193,192,1152,570,453,128,582,14,39,1.1471,294644,17,35643,4,0,0,330287,21
山形,モンテディオ山形,19,J1,2010,1229,228,349,232,420,1302,787,335,180,-73,-73,-73,191,215,0,-23,-23,13,42,1.2353,199069,17,14905,3,0,0,213974,20
鹿島,鹿島アントラーズ,3,J1,2010,4466,1561,747,480,1678,4449,2004,1812,633,17,33,14,2561,760,1570,83,1801,4,60,1.7647,356430,17,6977,1,26749,4,390156,22
浦和,浦和レッズ,4,J1,2010,5625,2256,2249,279,841,5898,2282,2935,681,-273,-259,-260,1450,1135,160,155,315,10,48,1.4118,678994,17,70247,3,0,0,749241,20
大宮,大宮アルディージャ,5,J1,2010,3308,2286,375,220,427,3290,1850,952,488,18,0,-1,441,430,100,-329,10,12,42,1.2353,188088,17,17976,3,0,0,206064,20
FC東京,FC東京,7,J1,2010,3671,1372,779,284,1236,3274,1370,1067,837,397,393,361,1349,382,1005,-37,967,16,36,1.0588,426899,17,54913,4,0,0,481812,21
川崎F,川崎フロンターレ,8,J1,2010,3540,1856,603,298,783,3493,1743,1088,662,47,47,7,1039,501,349,158,538,5,54,1.5882,315550,17,22823,2,0,0,338373,19
横浜FM,横浜F・マリノス,9,J1,2010,3565,1414,932,251,968,3905,1374,1588,943,-340,-339,-341,719,1182,30,-499,-462,8,51,1.5000,436624,17,30833,3,26737,3,494194,23
湘南,湘南ベルマーレ,26,J1,2010,1288,430,360,209,289,1342,646,395,301,-54,-53,-53,354,307,574,-732,47,18,16,0.4706,188614,17,23443,3,0,0,212057,20
新潟,アルビレックス新潟,11,J1,2010,2216,843,770,224,379,2341,910,940,491,-125,5,4,897,587,712,-403,309,9,49,1.4412,519221,17,52878,3,0,0,572099,20
