クラブ,正式名称,id,年,所属,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
山形,モンテディオ山形,19,2011,J1,1239,258,282,222,50,427,1268,706,97,108,62,0,293,-27,0,0,-27,0,0,-27,0,-27,133,28,161,122,90,212,0,0,-51,-51,18,21,0.6176,158527,17,0,0,0,0,0,0,158527,17
仙台,ベガルタ仙台,2,2011,J1,2097,682,689,238,67,421,2038,1007,117,150,71,0,693,59,23,1,81,80,44,117,58,59,924,394,1319,568,109,678,453,0,186,640,4,56,1.6471,266144,17,0,0,0,0,0,0,266144,17
鹿島,鹿島アントラーズ,3,2011,J1,4165,1839,754,252,233,1087,4378,2066,360,351,144,0,1457,-213,28,2,-187,0,46,-233,-13,-220,847,1295,2142,484,78,562,1570,147,-137,1580,6,50,1.4706,274655,17,0,0,0,0,19737,3,294392,20
浦和,浦和レッズ,4,2011,J1,5382,1821,1918,268,21,1353,5290,1886,615,364,67,55,2302,92,8,12,88,0,13,75,14,61,338,959,1297,862,59,921,160,0,216,376,15,36,1.0588,576477,17,0,0,0,0,0,0,576477,17
大宮,大宮アルディージャ,5,2011,J1,2775,1924,325,218,150,158,2770,1314,313,354,61,0,728,5,2,6,1,0,0,1,1,0,409,567,976,920,46,966,100,240,-330,10,13,42,1.2353,154681,17,0,0,0,0,0,0,154681,17
柏,柏レイソル,6,2011,J1,3543,1878,496,230,74,865,3391,1919,153,268,36,0,1015,152,30,21,161,2,0,163,-1,164,240,1854,2094,1100,10,1110,100,932,-48,984,1,72,2.1176,202593,17,0,0,0,0,0,0,202593,17
川崎F,川崎フロンターレ,8,2011,J1,3275,1738,554,213,157,613,3212,1587,165,239,95,0,1126,63,18,0,81,0,0,81,39,42,864,98,962,350,31,381,349,31,201,581,11,44,1.2941,294776,17,0,0,0,0,0,0,294776,17
横浜FM,横浜F・マリノス,9,2011,J1,3463,1197,795,254,425,792,3975,1441,322,405,295,0,1511,-512,1,7,-518,0,67,-585,0,-585,475,162,637,1544,141,1685,31,6,-1085,-1048,5,56,1.6471,357647,17,0,0,0,0,0,0,357647,17
甲府,ヴァンフォーレ甲府,10,2011,J1,1465,635,421,216,29,164,1400,671,84,149,17,0,479,65,4,8,61,24,0,85,41,44,409,164,573,271,25,296,367,0,-91,276,16,33,0.9706,205808,17,0,0,0,0,0,0,205808,17
新潟,アルビレックス新潟,11,2011,J1,2227,919,701,219,118,270,2270,809,276,256,117,26,786,-43,131,9,79,0,0,79,7,72,580,342,922,458,83,541,712,0,-331,381,14,39,1.1471,442836,17,0,0,0,0,0,0,442836,17
清水,清水エスパルス,12,2011,J1,3118,1228,522,237,295,836,3191,1376,192,195,127,0,1301,-73,13,4,-64,0,6,-70,7,-77,331,762,1093,386,299,686,550,0,-142,407,10,45,1.3235,268614,17,0,0,0,0,0,0,268614,17
磐田,ジュビロ磐田,13,2011,J1,3151,1695,424,227,31,774,2919,1299,323,258,47,0,992,232,31,12,251,0,1,250,64,186,761,421,1182,581,78,659,679,0,-156,523,8,47,1.3824,200525,17,0,0,0,0,0,0,200525,17
名古屋,名古屋グランパス,29,2011,J1,4196,2136,814,239,250,757,4231,2167,316,491,174,0,1083,-35,28,12,-19,0,48,-67,-2,-65,447,245,692,199,139,338,400,0,-46,354,2,71,2.0882,284590,17,0,0,0,0,27029,3,311619,20
G大阪,ガンバ大阪,14,2011,J1,3817,1739,597,223,117,1141,3745,2010,334,336,80,0,985,72,92,59,105,0,0,105,58,47,798,520,1318,1048,41,1089,10,0,219,229,3,70,2.0588,278981,17,0,0,0,0,48749,4,327730,21
C大阪,セレッソ大阪,15,2011,J1,2527,1361,449,223,20,474,2570,1185,348,184,56,7,790,-43,0,6,-49,0,5,-54,0,-54,394,300,694,490,89,579,315,0,-200,115,12,43,1.2647,240465,17,0,0,0,0,46692,4,287157,21
神戸,ヴィッセル神戸,16,2011,J1,2059,708,392,206,219,534,2149,1010,186,243,100,0,610,-90,42,68,-116,0,16,-132,1,-133,621,288,909,275,1590,1865,98,561,-1615,-956,9,46,1.3529,224962,17,0,0,0,0,0,0,224962,17
広島,サンフレッチェ広島,17,2011,J1,2676,1439,458,232,108,439,2671,1324,218,250,125,0,754,5,4,15,-6,0,0,-6,1,-7,690,272,962,821,68,889,2110,0,-2037,73,7,50,1.4706,224447,17,0,0,0,0,0,0,224447,17
福岡,アビスパ福岡,37,2011,J1,1246,441,308,207,144,146,1122,428,101,157,71,0,365,124,17,10,131,106,0,131,1,130,229,286,515,200,98,298,125,196,-104,217,17,22,0.6471,177054,17,0,0,0,0,0,0,177054,17
札幌,コンサドーレ札幌,1,2011,J2,1297,399,310,102,41,445,1383,513,205,166,56,0,443,-86,115,9,20,1,2,19,2,17,764,83,847,244,683,927,795,0,-875,-80,3,68,1.7895,199162,19,0,0,0,0,0,0,199162,19
水戸,水戸ホーリーホック,20,2011,J2,436,135,60,105,37,99,387,152,34,54,8,0,139,49,0,2,47,13,54,6,0,6,144,9,153,103,30,133,77,99,-156,20,17,42,1.1053,63637,19,0,0,0,0,0,0,63637,19
栃木,栃木SC,44,2011,J2,748,306,113,95,44,190,804,332,81,118,26,0,248,-56,0,0,-56,0,0,-56,1,-57,91,27,119,108,6,114,243,43,-281,5,10,56,1.4737,93848,19,0,0,0,0,0,0,93848,19
草津,ザスパ草津,21,2011,J2,562,213,78,93,49,129,598,204,52,108,51,0,183,-36,17,3,-22,0,1,-23,1,-24,67,11,78,180,0,180,185,28,-315,-102,9,57,1.5000,61018,19,0,0,0,0,0,0,61018,19
千葉,ジェフユナイテッド千葉,22,2011,J2,2422,1622,368,108,44,280,2200,1003,162,216,35,36,748,222,4,13,213,2,134,81,35,46,384,1003,1387,582,500,1082,490,390,-575,305,6,58,1.5263,183911,19,0,0,0,0,0,0,183911,19
FC東京,FC東京,7,2011,J2,3334,1336,551,110,355,982,3063,1427,305,198,239,0,894,271,10,37,244,0,0,244,105,139,1346,351,1698,535,0,535,1062,0,101,1163,1,77,2.0263,333680,19,0,0,0,0,0,0,333680,19
東京V,東京ヴェルディ,23,2011,J2,1075,522,182,89,85,197,1069,300,141,256,38,19,315,6,0,0,6,0,0,6,0,6,188,27,215,196,12,208,242,203,-438,7,5,59,1.5526,108482,19,0,0,0,0,0,0,108482,19
横浜FC,横浜FC,25,2011,J2,1046,643,147,99,31,126,1027,478,75,149,21,0,304,19,2,4,17,0,1,16,1,15,123,164,287,164,97,261,344,115,-432,27,18,41,1.0789,109632,19,0,0,0,0,0,0,109632,19
湘南,湘南ベルマーレ,26,2011,J2,670,227,168,91,0,184,991,511,62,70,0,0,348,-321,14,7,-314,188,4,-130,0,-130,133,104,237,245,75,320,574,205,-862,-83,14,46,1.2105,131918,19,0,0,0,0,0,0,131918,19
富山,カターレ富山,48,2011,J2,574,327,49,89,34,75,628,246,55,111,16,0,200,-54,1,0,-53,0,0,-53,0,-53,98,6,104,33,1,34,97,28,-55,70,16,43,1.1316,62233,19,0,0,0,0,0,0,62233,19
岐阜,FC岐阜,30,2011,J2,448,153,59,106,31,99,510,192,43,54,18,0,203,-62,1,10,-71,0,0,-71,0,-71,62,8,70,180,37,217,140,138,-425,-147,20,24,0.6316,78273,19,0,0,0,0,0,0,78273,19
京都,京都サンガF.C.,31,2011,J2,2140,1395,199,100,131,315,1896,895,174,156,126,0,545,244,24,14,254,0,0,254,1,253,985,174,1159,710,424,1134,3605,0,-3580,25,7,58,1.5263,119591,19,0,0,0,0,0,0,119591,19
