クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
仙台,ベガルタ仙台,2,2014,J1,J1,2249,922,660,203,96,368,2377,1141,125,194,62,44,811,-128,24,3,-107,0,0,-107,0,-107,718,597,1315,418,323,741,454,0,120,574,14,38,1.1176,257949,17,22642,3,0,0,0,0,280591,20
鹿島,鹿島アントラーズ,3,2014,J1,J1,4003,1831,788,222,266,896,3975,1562,314,295,159,0,1645,28,3,5,26,0,0,26,5,21,1135,1051,2186,475,100,575,1570,147,-106,1611,3,60,1.7647,300310,17,23687,3,0,0,0,0,323997,20
浦和,浦和レッズ,4,2014,J1,J1,5854,2380,1982,263,16,1213,5642,2054,488,404,107,84,2505,212,11,19,204,0,0,204,86,118,687,622,1309,469,102,571,160,0,578,738,2,62,1.8235,603770,17,88473,4,0,0,0,0,692243,21
大宮,大宮アルディージャ,5,2014,J1,J1,3422,2405,347,205,164,301,3423,1720,207,561,67,0,868,-1,20,8,11,0,0,11,11,0,383,772,1155,494,651,1145,100,240,-329,11,16,35,1.0294,183791,17,17665,3,0,0,0,0,201456,20
柏,柏レイソル,6,2014,J1,J1,3165,1943,466,201,66,489,3195,2059,138,209,39,0,750,-30,34,4,0,0,0,0,0,0,229,1809,2038,1041,0,1041,100,932,-35,997,4,60,1.7647,182161,17,38753,5,0,0,0,0,220914,22
FC東京,FC東京,7,2014,J1,J1,3859,1665,857,205,424,708,3822,1709,405,376,263,0,1070,37,3,17,23,0,0,23,19,4,1678,129,1807,379,0,379,1092,0,336,1428,9,48,1.4118,428184,17,31702,3,0,0,0,0,459886,20
川崎F,川崎フロンターレ,8,2014,J1,J1,3359,1794,571,228,171,595,3288,1546,185,269,74,0,1214,71,5,0,76,0,0,76,32,44,782,413,1195,426,90,516,349,31,299,679,6,55,1.6176,283241,17,27379,2,0,0,39051,4,349671,23
横浜FM,横浜F・マリノス,9,2014,J1,J1,4590,2059,958,226,464,883,4584,1765,334,508,310,0,1667,6,1,5,1,177,0,179,1,178,1288,228,1516,1394,121,1515,99,0,-98,1,7,51,1.5000,392496,17,6237,1,0,0,26735,3,425468,21
甲府,ヴァンフォーレ甲府,10,2014,J1,J1,1518,749,422,191,47,109,1515,759,119,175,25,0,437,3,15,12,6,0,114,-108,-34,-74,303,253,556,295,40,335,367,0,-146,221,13,41,1.2059,206904,17,22782,3,0,0,0,0,229686,20
新潟,アルビレックス新潟,11,2014,J1,J1,2748,1013,650,210,165,710,2853,1085,267,377,144,48,932,-105,153,7,41,0,0,41,31,10,690,431,1121,646,10,656,712,0,-247,465,12,44,1.2941,390648,17,32235,3,0,0,0,0,422883,20
清水,清水エスパルス,12,2014,J1,J1,3248,1534,539,222,316,637,3201,1354,198,220,195,0,1234,47,13,2,58,0,27,31,29,2,413,602,1015,376,140,516,550,0,-51,499,15,36,1.0588,241577,17,25139,3,0,0,0,0,266716,20
名古屋,名古屋グランパス,29,2014,J1,J1,4042,2471,756,204,228,383,4041,2053,286,434,186,0,1082,1,30,6,25,0,0,25,2,23,163,260,423,199,186,385,400,0,-362,38,10,48,1.4118,284474,17,22292,3,0,0,0,0,306766,20
G大阪,ガンバ大阪,14,2014,J1,J1,3863,1843,592,238,138,1052,3778,1815,298,242,117,0,1306,85,3,2,86,0,0,86,46,40,1112,367,1479,1214,56,1270,10,0,199,209,1,63,1.8529,250738,17,46075,5,0,0,0,0,296813,22
C大阪,セレッソ大阪,15,2014,J1,J1,3771,1511,856,232,0,1172,3859,1680,341,679,0,0,1159,-88,1,3,-90,0,0,-90,0,-90,493,318,811,645,71,716,315,0,-220,95,17,31,0.9118,367651,17,5734,1,0,0,52773,4,426158,22
神戸,ヴィッセル神戸,16,2014,J1,J1,2471,945,486,211,247,582,2954,1348,215,439,124,0,828,-483,18,2,-467,2250,36,1747,1,1746,330,349,679,238,318,556,98,561,-537,122,11,45,1.3235,255185,17,35002,4,0,0,0,0,290187,21
広島,サンフレッチェ広島,17,2014,J1,J1,3149,1537,505,219,93,796,3019,1349,297,299,138,0,937,130,11,4,137,1,1,137,15,122,944,258,1202,414,40,454,220,52,476,748,8,50,1.4706,254951,17,12234,2,0,0,30503,4,297688,23
