クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
札幌,北海道コンサドーレ札幌,1,2017,J1,J1,2676,1070,622,488,25,183,288,2685,1206,351,214,63,0,161,690,-9,80,8,63,0,20,43,10,33,1295,99,1394,328,614,942,1076,200,-824,452,11,43,1.2647,313100,17,21272,4,0,0,0,0,0,0,334372,21
仙台,ベガルタ仙台,2,2017,J1,J1,2709,1183,619,458,76,173,200,2702,1165,163,291,90,95,128,770,7,17,2,22,0,0,22,9,13,656,642,1298,475,319,794,454,0,50,504,12,41,1.2059,250677,17,30744,5,0,0,0,0,0,0,281421,22
鹿島,鹿島アントラーズ,3,2017,J1,J1,5228,1917,894,537,276,699,905,5367,2382,400,336,165,0,483,1601,-139,3,1,-137,0,0,-137,1,-138,1495,1172,2667,761,166,927,1570,147,23,1740,2,72,2.1176,347942,17,11943,1,0,0,33734,4,0,0,393619,22
浦和,浦和レッズ,4,2017,J1,J1,7971,3193,2337,536,12,813,1080,7416,2644,609,636,124,76,519,2808,556,8,28,536,0,0,536,206,330,1029,2107,3136,1415,203,1618,273,113,1132,1518,7,49,1.4412,570215,17,23116,1,0,0,208070,7,0,0,801401,25
大宮,大宮アルディージャ,5,2017,J1,J1,3685,2296,397,445,189,138,220,3675,1792,252,548,80,0,99,904,10,2,8,4,0,0,4,4,0,642,1028,1670,981,678,1659,100,240,-329,11,18,25,0.7353,194887,17,20485,3,0,0,0,0,0,0,215372,20
柏,柏レイソル,6,2017,J1,J1,3454,1954,554,466,26,77,377,3440,2308,158,183,33,0,61,697,14,19,9,24,0,0,24,11,13,189,2112,2301,1271,0,1271,100,932,-2,1030,4,62,1.8235,200936,17,22559,3,0,0,0,0,0,0,223495,20
FC東京,FC東京,7,2017,J1,J1,4588,1717,1026,483,446,282,634,4401,2010,468,389,295,0,238,1001,187,3,3,187,0,0,187,73,114,2393,295,2688,638,3,641,1137,0,910,2047,13,40,1.1765,450331,17,55571,5,0,0,0,0,30923,16,536825,38
川崎F,川崎フロンターレ,8,2017,J1,J1,5123,1854,1038,495,183,563,990,4730,2339,229,298,60,0,420,1384,393,3,2,394,0,0,394,133,261,859,1375,2234,853,163,1016,349,31,838,1218,1,72,2.1176,375910,17,33383,2,0,0,65877,5,0,0,475170,24
横浜FM,横浜F・マリノス,9,2017,J1,J1,4765,2111,1018,452,322,496,366,4759,2118,344,385,176,0,324,1412,6,26,8,24,0,0,24,-1,25,1369,487,1856,1631,181,1812,99,0,-55,44,5,59,1.7353,421028,17,16805,3,0,0,0,0,0,0,437833,20
甲府,ヴァンフォーレ甲府,10,2017,J1,J1,1727,774,353,446,28,74,52,1689,883,103,181,30,0,57,435,38,9,10,37,0,4,33,14,19,415,237,652,329,54,383,367,0,-98,269,16,32,0.9412,184311,17,18470,3,0,0,0,0,0,0,202781,20
新潟,アルビレックス新潟,11,2017,J1,J1,2762,1085,629,452,196,224,176,2974,1227,267,301,160,58,174,787,-212,174,24,-62,7,0,-55,0,-55,642,727,1369,693,288,981,712,0,-324,388,17,28,0.8235,374585,17,19052,3,0,0,0,0,0,0,393637,20
清水,清水エスパルス,12,2017,J1,J1,4010,1797,625,461,308,409,410,3928,1680,268,283,260,0,280,1157,82,10,1,91,0,88,3,1,2,266,540,806,511,67,578,550,0,-322,228,14,34,1.0000,256965,17,17856,3,0,0,0,0,0,0,274821,20
磐田,ジュビロ磐田,13,2017,J1,J1,3828,1812,615,466,231,464,240,3592,1553,469,240,221,0,314,795,236,27,2,261,0,0,261,76,185,900,928,1828,699,71,770,679,0,379,1058,6,58,1.7059,277450,17,18421,3,0,0,0,0,0,0,295871,20
G大阪,ガンバ大阪,14,2017,J1,J1,4966,1800,1266,508,139,499,754,5063,2212,762,441,144,0,396,1108,-97,4,-91,-2,0,0,-2,0,-2,414,1527,1941,1626,55,1681,10,0,250,260,10,43,1.2647,412710,17,43888,2,0,0,37405,4,19620,16,513623,39
C大阪,セレッソ大阪,15,2017,J1,J1,3976,1600,839,460,0,368,709,4243,2334,449,385,0,0,239,836,-267,17,51,-301,310,0,9,4,5,527,964,1491,1287,80,1367,315,0,-191,124,3,63,1.8529,356491,17,56188,6,0,0,0,0,14545,16,427224,39
神戸,ヴィッセル神戸,16,2017,J1,J1,5237,3352,514,453,236,195,487,5337,3104,357,278,85,0,176,1337,-100,15,68,-153,0,0,-153,2,-155,2741,977,3718,3577,133,3710,98,561,-651,8,9,44,1.2941,310625,17,23710,4,0,0,0,0,0,0,334335,21
広島,サンフレッチェ広島,17,2017,J1,J1,3424,1546,496,484,88,362,448,3438,1602,263,531,132,0,249,661,-14,18,3,1,0,0,1,0,1,1289,336,1625,369,45,414,220,52,939,1211,15,33,0.9706,238720,17,28518,4,0,0,0,0,0,0,267238,21
鳥栖,サガン鳥栖,18,2017,J1,J1,3350,1574,631,443,97,164,441,3341,1899,341,165,38,0,117,781,9,3,2,10,0,0,10,8,2,687,454,1141,1073,50,1123,890,739,-1611,18,8,47,1.3824,241295,17,19640,3,0,0,0,0,0,0,260935,20
山形,モンテディオ山形,19,2017,J2,J1,1576,429,172,137,0,94,743,1565,438,71,143,0,0,67,846,11,20,0,31,0,0,31,10,22,499,42,541,400,18,418,10,0,113,123,11,59,1.4048,138232,21,0,0,0,0,0,0,0,0,138232,21
水戸,水戸ホーリーホック,20,2017,J2,J2,578,195,83,144,49,50,57,588,261,48,76,24,0,34,145,-10,1,0,-9,0,0,-9,0,-9,174,14,188,145,8,153,84,107,-156,35,14,54,1.2857,103549,21,0,0,0,0,0,0,0,0,103549,21
群馬,ザスパクサツ群馬,21,2017,J2,J1,624,267,67,148,0,30,112,615,292,54,98,17,0,19,135,9,10,1,18,0,11,7,4,3,116,10,126,63,0,63,272,115,-324,63,22,20,0.4762,80465,21,0,0,0,0,0,0,0,0,80465,21
千葉,ジェフユナイテッド千葉,22,2017,J2,J1,2593,1704,337,146,111,153,142,2597,1177,156,271,115,70,119,689,-4,4,7,-7,0,0,-7,0,-7,480,1047,1527,607,390,997,490,390,-350,530,6,68,1.6190,209637,21,0,0,0,0,0,0,0,0,209637,21
東京V,東京ヴェルディ,23,2017,J2,J1,1622,779,186,147,189,54,267,1620,572,104,280,80,34,38,513,2,1,1,2,0,0,2,2,1,347,33,380,294,48,342,282,243,-487,38,5,70,1.6667,130334,21,0,0,0,0,0,0,0,0,130334,21
町田,FC町田ゼルビア,24,2017,J2,J2,709,343,94,136,0,40,96,678,228,68,80,7,0,30,265,31,1,3,29,0,0,29,5,24,116,98,215,83,86,169,167,120,-241,46,16,50,1.1905,85177,21,0,0,0,0,0,0,0,0,85177,21
横浜FC,横浜FC,25,2017,J2,J1,1244,698,171,144,57,77,97,1243,533,116,194,60,0,55,285,1,1,7,-6,1,16,-21,0,-21,339,97,436,411,19,430,354,125,-472,6,10,63,1.5000,125301,21,0,0,0,0,0,0,0,0,125301,21
湘南,湘南ベルマーレ,26,2017,J2,J1,1566,795,240,145,0,213,173,1645,774,103,130,0,0,133,505,-79,4,3,-78,0,0,-78,4,-82,394,56,450,417,29,446,658,289,-943,4,1,83,1.9762,177527,21,0,0,0,0,0,0,0,0,177527,21
松本,松本山雅FC,27,2017,J2,J1,1991,953,494,150,21,239,134,1946,956,202,157,30,0,121,480,45,32,0,77,0,0,77,30,47,778,275,1053,338,16,354,196,0,503,699,8,66,1.5714,255076,21,0,0,0,0,0,0,0,0,255076,21
金沢,ツエーゲン金沢,28,2017,J2,J1,656,294,60,145,45,47,65,667,309,43,93,35,0,26,161,-11,3,5,-13,0,0,-13,1,-14,116,112,228,146,0,146,150,0,-69,81,17,49,1.1667,92336,21,0,0,0,0,0,0,0,0,92336,21
名古屋,名古屋グランパス,29,2017,J2,J1,4594,2856,824,159,182,290,283,4094,1843,278,425,219,0,184,1145,500,23,35,488,0,0,488,125,363,1338,1698,3036,2278,141,2419,105,0,512,617,3,75,1.7857,322672,21,0,0,56309,2,0,0,0,0,378981,23
岐阜,FC岐阜,30,2017,J2,J1,951,474,111,153,52,71,90,868,316,100,118,44,0,56,234,83,1,0,84,0,0,84,13,71,307,11,318,152,0,152,269,267,-370,166,18,46,1.0952,146518,21,0,0,0,0,0,0,0,0,146518,21
京都,京都サンガF.C.,31,2017,J2,J1,1857,1129,205,151,131,94,147,1953,852,145,155,128,0,66,607,-96,12,24,-108,0,0,-108,1,-109,585,86,671,486,31,517,3605,0,-3451,154,12,57,1.3571,141705,21,0,0,0,0,0,0,0,0,141705,21
岡山,ファジアーノ岡山,32,2017,J2,J1,1433,703,190,152,86,120,182,1427,638,113,102,28,0,88,458,6,0,0,6,0,0,6,2,4,527,22,549,404,6,410,98,36,5,139,13,55,1.3095,198883,21,0,0,0,0,0,0,0,0,198883,21
山口,レノファ山口FC,33,2017,J2,J1,1019,439,204,160,19,115,81,1048,399,94,137,58,7,72,281,-29,0,0,-29,1,0,-27,-3,-24,302,57,359,255,5,260,99,0,0,99,20,38,0.9048,114538,21,0,0,0,0,0,0,0,0,114538,21
讃岐,カマタマーレ讃岐,34,2017,J2,J2,696,292,87,147,48,41,81,687,345,64,75,28,0,31,144,9,1,2,8,0,0,8,0,8,223,17,240,86,0,86,77,76,1,154,19,38,0.9048,79908,21,0,0,0,0,0,0,0,0,79908,21
徳島,徳島ヴォルティス,35,2017,J2,J1,1639,1103,136,145,63,60,132,1491,814,76,208,58,0,50,285,148,3,7,144,0,0,144,45,99,1337,156,1493,325,29,354,409,0,730,1139,7,67,1.5952,104557,21,0,0,0,0,0,0,0,0,104557,21
愛媛,愛媛FC,36,2017,J2,J1,769,302,74,145,67,53,128,699,316,33,77,41,25,36,171,70,11,3,78,0,0,78,10,68,128,132,260,62,27,89,309,-1,-137,171,15,51,1.2143,81193,21,0,0,0,0,0,0,0,0,81193,21
福岡,アビスパ福岡,37,2017,J2,J1,1979,621,190,159,220,110,679,1927,1000,118,217,72,0,85,435,52,4,22,34,0,10,24,2,22,594,285,879,564,141,705,176,246,-248,174,4,74,1.7619,200546,21,0,0,9019,1,0,0,0,0,209565,22
長崎,V・ファーレン長崎,38,2017,J2,J1,1120,539,115,145,29,76,216,1056,494,80,101,31,0,63,287,64,1,1,64,0,0,64,10,54,179,92,271,203,1,204,279,58,-271,66,2,80,1.9048,124756,21,0,0,0,0,0,0,0,0,124756,21
熊本,ロアッソ熊本,39,2017,J2,J1,840,351,111,158,22,65,133,838,354,48,136,27,0,43,230,2,3,1,4,0,1,3,2,1,263,32,295,216,20,236,345,0,-285,60,21,37,0.8810,137698,21,0,0,0,0,0,0,0,0,137698,21
大分,大分トリニータ,40,2017,J2,J1,1023,443,250,147,39,20,124,932,367,63,120,62,3,3,314,91,3,0,94,0,0,94,0,94,309,58,367,192,0,192,40,40,95,175,9,64,1.5238,169328,21,0,0,0,0,0,0,0,0,169328,21
盛岡,グルージャ盛岡,41,2017,J3,J3,281,116,13,35,26,5,86,285,87,18,54,23,0,3,100,-4,9,1,4,2,0,6,1,5,102,12,114,79,26,105,234,0,-225,9,15,29,0.9063,21385,16,0,0,0,0,0,0,0,0,21385,16
秋田,ブラウブリッツ秋田,42,2017,J3,J3,360,198,16,35,43,10,58,357,114,16,59,30,0,9,129,3,7,2,8,0,1,7,0,7,64,37,101,14,64,78,23,18,-19,22,1,61,1.9063,37819,16,0,0,0,0,0,0,0,0,37819,16
福島,福島ユナイテッドFC,43,2017,J3,J3,359,237,12,35,28,22,25,357,119,34,55,12,0,15,122,2,0,0,2,0,0,2,0,2,71,3,74,42,3,45,39,0,-10,29,10,43,1.3438,23762,16,0,0,0,0,0,0,0,0,23762,16
栃木,栃木SC,44,2017,J3,J1,658,408,59,35,71,59,26,663,229,46,87,58,0,33,210,-5,0,4,-9,22,8,5,1,4,202,77,279,103,27,130,315,115,-281,149,2,60,1.8750,82352,16,0,0,0,0,0,0,0,0,82352,16
YS横浜,Y.S.C.C.横浜,45,2017,J3,J3,193,38,14,26,87,8,20,199,30,13,27,36,2,9,82,-6,5,0,-1,0,0,-1,0,-1,54,4,58,31,25,56,0,0,0,2,14,32,1.0000,15222,16,0,0,0,0,0,0,0,0,15222,16
相模原,SC相模原,46,2017,J3,J3,282,181,26,35,0,17,23,290,92,17,29,0,0,12,140,-8,10,1,1,0,0,1,0,1,57,15,72,37,23,60,21,0,-9,12,12,39,1.2188,58517,16,0,0,0,0,0,0,0,0,58517,16
長野,AC長野パルセイロ,47,2017,J3,J2,702,407,59,36,24,7,169,700,281,31,82,27,35,0,244,2,0,0,2,0,0,2,1,1,85,8,93,36,3,39,79,14,-39,54,5,50,1.5625,68095,16,0,0,0,0,0,0,0,0,68095,16
富山,カターレ富山,48,2017,J3,J1,539,372,34,34,47,20,32,534,200,39,86,25,0,12,172,5,1,0,6,0,0,6,0,6,197,5,202,85,6,91,97,28,-15,110,8,47,1.4688,50536,16,0,0,0,0,0,0,0,0,50536,16
藤枝,藤枝MYFC,49,2017,J3,J3,210,144,7,34,2,2,21,216,59,12,31,0,7,4,103,-6,7,0,1,0,0,1,0,1,74,0,74,27,8,35,10,239,-210,39,7,47,1.4688,23162,16,0,0,0,0,0,0,0,0,23162,16
