クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
札幌,北海道コンサドーレ札幌,1,2018,J1,J1,2988,1306,636,392,25,189,440,3233,1502,327,268,168,0,143,825,-245,100,8,-153,5,16,-164,1,-165,240,1632,234,1867,629,562,1192,1287,376,-988,674,4,55,1.6176,309798,17,15196,3,0,0,0,0,0,0,324994,20
仙台,ベガルタ仙台,2,2018,J1,J1,2684,1137,608,363,78,219,279,2765,1232,145,252,96,118,146,776,-81,15,2,-68,0,0,-68,5,-73,104,971,746,1717,687,332,1019,587,134,-23,698,11,45,1.3235,261943,17,30978,4,0,0,0,0,0,0,292921,21
鹿島,鹿島アントラーズ,3,2018,J1,J1,7330,2156,978,806,290,839,2261,6746,3157,524,599,169,0,600,1697,584,4,1,587,0,0,587,161,426,0,2164,1207,3371,1065,140,1205,1570,147,449,2166,3,56,1.6471,330376,17,15566,2,0,0,94617,7,0,0,440559,26
浦和,浦和レッズ,4,2018,J1,J1,7549,3226,1923,389,11,954,1046,7540,3108,554,564,103,84,557,2570,9,29,6,32,22,0,54,15,39,245,1397,1783,3180,1391,232,1623,273,113,1171,1557,5,51,1.5000,603534,17,78051,4,0,0,0,0,0,0,681585,21
柏,柏レイソル,6,2018,J1,J1,4150,1968,449,708,25,67,933,4128,2806,135,314,37,0,53,783,22,21,21,22,0,0,22,20,2,0,465,2074,2539,1508,0,1508,100,932,-1,1031,17,39,1.1471,193833,17,11785,2,0,0,19504,3,0,0,225122,22
FC東京,FC東京,7,2018,J1,J1,4844,1988,947,382,420,287,820,4619,2133,455,391,303,0,287,1050,225,1,23,203,0,0,203,69,134,0,2377,232,2609,376,2,378,1187,0,1044,2231,6,50,1.4706,449338,17,21775,3,0,0,0,0,27564,16,498677,36
川崎F,川崎フロンターレ,8,2018,J1,J1,6074,1478,975,1416,196,869,1140,5599,2614,222,326,67,0,576,1794,475,2,1,476,0,0,476,154,322,0,876,1956,2833,1145,147,1292,349,30,1160,1540,1,69,2.0294,394709,17,19214,1,0,0,31804,3,0,0,445727,21
横浜FM,横浜F・マリノス,9,2018,J1,J1,5138,2033,1127,371,360,571,676,5119,2301,356,405,205,0,382,1470,19,2,13,8,3,7,4,2,2,0,1201,461,1662,1462,154,1616,99,0,-53,46,12,41,1.2059,370401,17,52877,6,0,0,0,0,0,0,423278,23
湘南,湘南ベルマーレ,26,2018,J1,J1,2978,1224,480,424,95,315,440,2980,1384,172,212,141,0,220,851,-2,9,2,5,0,0,5,5,0,442,606,61,668,546,15,562,709,339,-942,106,13,41,1.2059,206039,17,45350,6,0,0,0,0,0,0,251389,23
清水,清水エスパルス,12,2018,J1,J1,3983,1757,582,377,319,396,552,4226,1811,232,381,262,0,263,1277,-243,10,2,-235,0,19,-254,2,-256,0,394,466,860,748,88,836,550,0,-526,24,8,49,1.4412,254844,17,18380,3,0,0,0,0,0,0,273224,20
磐田,ジュビロ磐田,13,2018,J1,J1,3745,1869,638,371,222,426,219,3757,1721,475,271,179,0,302,809,-12,62,5,45,0,0,45,21,24,0,888,847,1735,576,77,653,679,0,403,1082,16,41,1.2059,263060,17,31728,4,14588,1,0,0,0,0,309376,22
名古屋,名古屋グランパス,29,2018,J1,J1,5491,3345,936,363,179,412,256,5273,2823,296,455,158,0,246,1295,218,15,6,227,0,0,227,104,123,0,430,1870,2301,1406,153,1560,105,0,636,741,15,41,1.2059,419218,17,25025,3,0,0,0,0,0,0,444243,20
G大阪,ガンバ大阪,14,2018,J1,J1,5159,1845,1152,391,196,458,1117,4903,2193,561,403,193,0,358,1195,256,7,10,253,0,0,253,0,253,0,465,1328,1793,1219,61,1280,10,0,503,513,9,48,1.4118,399242,17,43792,5,0,0,0,0,22107,16,465141,38
C大阪,セレッソ大阪,15,2018,J1,J1,3871,1786,618,554,0,418,495,4177,2334,311,457,0,0,313,762,-306,15,5,-296,300,0,4,2,2,2243,513,496,1009,806,77,883,315,0,-189,126,7,50,1.4706,319782,17,6589,1,0,0,27430,3,17784,16,371585,37
神戸,ヴィッセル神戸,16,2018,J1,J1,9666,6208,840,367,249,388,1614,7641,4477,280,528,105,0,360,1891,2025,58,401,1682,0,0,1682,630,1052,0,2384,1398,3782,2587,135,2722,98,561,401,1060,10,45,1.3235,367716,17,19794,4,0,0,0,0,0,0,387510,21
広島,サンフレッチェ広島,17,2018,J1,J1,3367,1530,500,364,82,370,521,3597,1864,283,383,137,0,260,670,-230,12,40,-258,0,0,-258,19,-277,0,1155,255,1410,434,41,476,220,52,661,933,2,57,1.6765,243874,17,23557,3,0,0,0,0,0,0,267431,20
鳥栖,サガン鳥栖,18,2018,J1,J1,4257,2296,678,358,94,201,630,4393,2670,419,207,51,0,162,884,-136,8,452,-580,0,0,-580,1,-581,0,891,556,1447,1375,36,1411,1189,1040,-2193,36,14,41,1.2059,255004,17,14816,3,0,0,0,0,0,0,269820,20
長崎,V・ファーレン長崎,38,2018,J1,J1,2323,1183,407,363,31,211,128,2310,814,168,239,66,0,131,892,13,4,0,17,0,6,11,-26,37,0,410,98,508,389,3,392,350,0,-234,116,18,30,0.8824,190827,17,11837,3,0,0,0,0,0,0,202664,20
山形,モンテディオ山形,19,2018,J2,J1,1698,469,178,139,0,97,815,1698,524,83,164,0,0,67,860,0,21,0,21,0,0,21,9,12,206,531,37,568,410,23,433,10,0,124,134,12,56,1.3333,142094,21,0,0,0,0,0,0,0,0,142094,21
