,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
札幌,北海道コンサドーレ札幌,1,2019,J1,J1,3599,1440,779,585,26,259,510,3826,1698,376,261,68,0,188,1235,-227,89,10,-148,0,0,-148,1,-149,269,1291,615,1906,890,491,1381,1287,376,-1138,525,10,46,1.3529,319053,17,46349,6,0,0,0,0,0,0,365402,23
仙台,ベガルタ仙台,2,2019,J1,J1,2711,1165,615,360,77,244,250,2956,1296,150,237,83,129,167,894,-245,9,2,-238,0,193,-431,-3,-428,133,864,496,1360,694,310,1004,630,177,-451,356,11,41,1.2059,254503,17,24159,4,0,0,0,0,0,0,278662,21
鹿島,鹿島アントラーズ,3,2019,J1,J1,6768,2303,996,775,257,842,1595,6673,2936,518,377,178,0,620,2044,95,5,1,99,0,0,99,96,3,0,2266,1718,3984,1528,287,1815,1570,147,452,2169,3,63,1.8529,349678,17,34014,2,0,0,54945,6,0,0,438637,25
浦和,浦和レッズ,4,2019,J1,J1,8218,3841,2300,468,12,903,694,8082,3228,650,572,75,84,542,2931,136,11,8,139,0,0,139,77,62,260,792,2349,3141,1293,229,1522,273,113,1233,1619,14,37,1.0882,581135,17,21148,1,0,0,200510,7,0,0,802793,25
FC東京,FC東京,7,2019,J1,J1,5635,2419,1104,406,418,297,991,5552,2736,492,501,259,0,247,1317,83,3,11,75,0,0,75,25,50,0,2111,624,2735,454,0,454,1187,0,1094,2281,2,64,1.8824,536187,17,32735,5,0,0,0,0,21684,17,590606,39
川崎,川崎フロンターレ,8,2019,J1,J1,6969,2143,1042,1792,216,835,941,6168,2958,260,359,78,0,689,1824,801,2,1,802,0,0,802,240,562,0,1351,2024,3376,1144,129,1273,349,30,1722,2102,4,60,1.7647,395619,17,33131,2,0,0,32798,3,0,0,461548,22
横浜FM,横浜F・マリノス,9,2019,J1,J1,5884,2263,1286,384,375,702,874,5880,2684,345,459,201,0,437,1754,4,23,6,21,0,0,21,1,20,0,1704,474,2178,1977,135,2112,99,0,-33,66,1,70,2.0588,459168,17,15158,3,0,0,0,0,0,0,474326,20
湘南,湘南ベルマーレ,26,2019,J1,J1,2701,1129,438,324,87,230,493,2667,1263,153,137,140,0,197,777,34,7,6,35,0,0,35,31,4,464,838,114,953,832,9,842,709,339,-938,110,16,36,1.0588,218424,17,20703,3,13814,1,0,0,0,0,252941,21
松本,松本山雅FC,27,2019,J1,J1,2711,1145,695,371,30,249,221,2674,1430,263,185,46,0,123,627,37,35,1,71,0,19,52,19,33,116,895,352,1247,457,17,474,205,0,568,773,17,31,0.9118,296079,17,21131,3,0,0,0,0,0,0,317210,20
清水,清水エスパルス,12,2019,J1,J1,4291,1937,702,376,338,443,495,4289,1729,251,501,243,0,301,1264,2,17,3,16,0,10,6,4,2,0,521,631,1152,1014,113,1127,550,0,-525,25,12,39,1.1471,255735,17,16920,3,0,0,0,0,0,0,272655,20
磐田,ジュビロ磐田,13,2019,J1,J1,3813,1877,531,500,198,337,370,3950,1995,435,294,174,0,269,783,-137,32,6,-111,0,148,-259,0,-260,0,760,876,1636,739,75,814,679,0,143,822,18,31,0.9118,259709,17,26222,4,0,0,0,0,0,0,285931,21
名古屋,名古屋グランパス,29,2019,J1,J1,6912,4077,1221,376,225,562,451,6827,3973,330,483,162,0,324,1555,85,18,271,-168,0,0,-168,0,-168,0,1279,1496,2776,2025,178,2204,105,0,467,572,13,37,1.0882,469397,17,51570,5,0,0,0,0,0,0,520967,22
G大阪,ガンバ大阪,14,2019,J1,J1,5513,1863,1247,379,211,536,1277,5339,2434,591,457,175,0,398,1284,174,12,87,99,0,0,99,0,99,0,482,1487,1969,1292,66,1358,10,0,601,611,7,47,1.3824,471034,17,42378,6,0,0,0,0,21472,17,534884,40
C大阪,セレッソ大阪,15,2019,J1,J1,3786,1707,677,479,0,258,665,4263,2406,302,520,0,0,167,868,-477,0,6,-483,200,0,-283,0,-283,2146,736,253,989,891,85,976,485,0,-472,13,5,59,1.7353,365810,17,27503,4,0,0,0,0,20340,17,413653,38
神戸,ヴィッセル神戸,16,2019,J1,J1,11440,7405,1260,376,266,531,1602,11005,6923,308,780,136,0,401,2457,435,67,259,243,0,0,243,0,243,0,1922,1793,3716,2276,136,2413,98,561,643,1302,8,47,1.3824,365349,17,20038,3,0,0,0,0,0,0,385387,20
広島,サンフレッチェ広島,17,2019,J1,J1,3737,1582,547,766,80,302,461,3711,1931,327,369,137,0,224,723,26,12,1,37,0,0,37,15,22,0,1123,393,1516,517,43,561,220,52,683,955,6,55,1.6176,236063,17,5607,1,0,0,22730,5,0,0,264400,23
鳥栖,サガン鳥栖,18,2019,J1,J1,2561,810,760,360,76,276,279,4459,2528,469,200,45,0,244,973,-1898,7,122,-2013,0,0,-2013,1,-2014,0,451,244,696,651,23,674,2189,2039,-4207,21,15,36,1.0588,255845,17,17565,3,0,0,0,0,0,0,273410,20
大分,大分トリニータ,40,2019,J1,J1,1866,726,472,362,44,45,217,1678,860,138,159,68,1,20,432,188,2,0,190,0,0,190,58,132,0,469,139,608,382,0,382,40,40,146,226,9,47,1.3824,260893,17,15910,3,0,0,0,0,0,0,276803,20
山形,モンテディオ山形,19,2019,J2,J1,1845,573,241,143,0,121,767,1855,549,101,189,0,0,81,935,-11,17,0,6,0,0,6,2,5,200,515,38,553,395,18,413,10,0,129,139,6,70,1.6667,174064,21,0,0,0,0,0,0,0,0,174064,21
水戸,水戸ホーリーホック,20,2019,J2,J1,752,259,114,144,59,70,106,744,321,63,94,29,0,52,185,8,0,0,8,0,29,-21,0,-21,7,225,10,235,168,26,194,98,120,-177,41,7,70,1.6667,127824,21,0,0,0,0,0,0,0,0,127824,21
栃木,栃木SC,44,2019,J2,J1,975,506,113,145,85,76,50,959,365,85,133,59,0,36,281,16,1,3,14,0,0,14,3,11,0,242,66,308,134,1,136,315,115,-258,172,20,40,0.9524,108105,21,0,0,0,0,0,0,0,0,108105,21
大宮,大宮アルディージャ,5,2019,J2,J1,3454,2464,332,151,215,129,163,3458,1547,272,625,78,0,96,840,-4,15,11,0,0,0,0,0,0,0,701,811,1512,827,674,1501,100,240,-329,11,3,75,1.7857,199040,21,0,0,10942,1,0,0,0,0,209982,22
千葉,ジェフユナイテッド千葉,22,2019,J2,J1,2838,1954,326,144,125,144,145,2722,1153,166,335,143,73,115,737,116,10,4,122,0,110,12,7,5,0,671,990,1662,770,312,1082,490,390,-300,579,17,43,1.0238,203725,21,0,0,0,0,0,0,0,0,203725,21
柏,柏レイソル,6,2019,J2,J1,3140,2206,414,208,22,52,238,4206,2940,126,326,31,0,41,742,-1066,115,61,-1012,0,0,-1012,1,-1013,0,459,2369,2828,2809,1,2810,100,932,-1014,18,1,84,2.0000,198887,21,11959,3,0,0,0,0,0,0,198887,24
東京V,東京ヴェルディ,23,2019,J2,J1,1938,911,177,144,188,100,417,1932,713,104,325,75,59,65,590,6,0,3,3,0,0,3,2,1,0,617,81,698,420,237,658,282,243,-485,40,13,55,1.3095,112789,21,0,0,0,0,0,0,0,0,112789,21
町田,FC町田ゼルビア,24,2019,J2,J1,1032,666,115,136,0,43,72,1021,402,103,111,19,0,34,352,11,0,2,9,0,0,9,2,7,157,1079,260,1339,124,47,171,100,1335,-267,1168,18,43,1.0238,99077,21,0,0,0,0,0,0,0,0,99077,21
横浜FC,横浜FC,25,2019,J2,J1,1841,1123,197,146,161,82,132,1805,916,122,198,148,0,83,338,36,7,2,41,0,40,1,1,0,142,235,72,307,237,63,300,354,125,-472,7,2,79,1.8810,148280,21,0,0,0,0,0,0,0,0,148280,21
甲府,ヴァンフォーレ甲府,10,2019,J2,J1,1455,800,286,149,24,87,109,1460,707,108,171,26,0,70,378,-5,10,8,-3,0,0,-3,2,-5,42,394,194,588,268,54,322,367,0,-101,266,5,71,1.6905,173742,21,0,0,0,0,0,0,0,0,173742,21
新潟,アルビレックス新潟,11,2019,J2,J1,2247,949,500,149,178,231,240,2248,722,272,253,165,0,189,647,-1,164,9,154,31,5,180,10,170,124,577,627,1204,567,228,795,712,0,-303,409,10,62,1.4762,304445,21,0,0,0,0,0,0,0,0,304445,21
金沢,ツエーゲン金沢,28,2019,J2,J1,760,320,72,146,54,66,102,755,311,54,110,41,0,41,198,5,1,2,4,0,0,4,2,2,41,132,98,230,128,12,140,150,0,-60,90,11,61,1.4524,109386,21,0,0,0,0,0,0,0,0,109386,21
岐阜,FC岐阜,30,2019,J2,J1,1079,589,116,154,50,75,95,1148,461,131,126,55,0,67,308,-69,0,1,-70,0,0,-70,0,-70,0,269,10,279,69,0,69,80,457,-327,209,22,30,0.7143,139526,21,0,0,0,0,0,0,0,0,139526,21
京都,京都サンガF.C.,31,2019,J2,J1,2090,1356,198,148,148,86,154,2084,895,157,150,176,0,68,638,6,20,48,-22,0,0,-22,2,-24,0,648,85,733,497,28,526,3605,0,-3397,207,8,68,1.6190,164845,21,0,0,0,0,0,0,0,0,164845,21
岡山,ファジアーノ岡山,32,2019,J2,J1,1567,798,186,153,114,111,205,1565,634,177,107,33,0,98,516,2,0,0,2,0,0,2,1,1,0,495,79,575,418,2,421,98,36,19,153,9,65,1.5476,198331,21,0,0,0,0,0,0,0,0,198331,21
山口,レノファ山口FC,33,2019,J2,J1,1289,634,216,162,42,123,113,1282,527,130,140,86,2,73,323,7,2,0,9,1,1,9,2,7,98,221,42,264,211,2,214,99,0,-49,50,15,47,1.1190,118718,21,0,0,0,0,0,0,0,0,118718,21
徳島,徳島ヴォルティス,35,2019,J2,J1,1763,1147,172,152,64,74,154,1641,892,98,197,64,0,67,323,122,2,0,124,4,0,128,41,87,44,1461,138,1599,294,27,321,409,0,869,1278,4,73,1.7381,120460,21,0,0,22232,2,0,0,0,0,142692,23
愛媛,愛媛FC,36,2019,J2,J1,777,324,61,155,82,61,94,860,406,44,87,62,27,45,189,-83,10,2,-75,0,0,-75,0,-75,0,82,116,198,89,7,96,309,-1,-206,102,19,42,1.0000,79373,21,0,0,0,0,0,0,0,0,79373,21
福岡,アビスパ福岡,37,2019,J2,J1,1577,693,137,155,198,93,301,1680,784,113,289,103,0,63,328,-103,1,5,-107,0,0,-107,0,-107,0,366,284,650,468,113,581,176,246,-353,69,16,44,1.0476,146639,21,0,0,0,0,0,0,0,0,146639,21
長崎,V・ファーレン長崎,38,2019,J2,J1,2564,1557,257,277,41,207,225,2555,1029,214,268,91,0,143,810,9,3,2,10,0,0,10,-46,56,0,559,70,629,453,3,456,350,0,-177,173,12,56,1.3333,162476,21,17065,4,0,0,0,0,0,0,179541,25
鹿児島,鹿児島ユナイテッドFC,53,2019,J2,J1,790,401,104,148,0,58,79,784,296,91,154,0,0,30,213,6,0,3,3,0,0,3,0,3,103,90,84,174,48,78,126,26,26,-4,48,21,40,0.9524,121493,21,0,0,0,0,0,0,0,0,121493,21
